"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bangladesh","BGD","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.203285872180755","0.489034316529458","0.73506133361701","0.955718323259495","1.30727272641376","2.0095192848446","23.618282969186","65.215515295293","115.967150135608",
"Bulgaria","BGR","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.3343693999634","101.383607264129","251.714781283261","322.500056778179","635.249084363681","679.855965269391","4043.45114117608","32308.3256559157","38228.3232747968",
"Bahrain","BHR","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.9480199216672","109.53322416522","208.470679099007","247.903278178656","288.905937166701","328.023961785937","346.474343013808","359.419948409517","370.833144837104",
"Bahamas, The","BHS","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","366.257022274062","414.375780430895","530.826439007217","620.969147638138","739.275779544725","1002.12182594614","1053.102285867","1508.7973889423","2357.12063063997",
"Bosnia and Herzegovina","BIH","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.8743307195413","18.0269995288398","33.8421491207144","41.4948886483252","61.7442787464131","82.2310628714796","188.408061148161","1499.01820871501","1934.75853425269",
"Belarus","BLR","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.0576450361374","9.0782686095006","25.4635878617929","38.6647069505727","61.1113333448027","107.591287150081","438.981747578865","2259.88664876024","3419.99787884225",
"Belize","BLZ","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","213.977374218517","281.615930377274","979.289940828402","1015.28715849761","834.828478121834","1141.48609298679","1517.37242128122","8002.25670558242","11595.7616212138",
"Bermuda","BMU","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3562.43473988084","5529.39718728703","6682.30500941387","7292.19550468454","7768.00380724297","8093.31841383222","8132.60010843467","7874.8786673764","8144.69734867434",
"Bolivia","BOL","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.77195407514885","8.12693369616665","10.5033150003912","14.2282916109234","18.4934092011436","26.6795955373317","37.8904174680989","109.53417242823","130.184225653128",
"Brazil","BRA","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.2504588911243","44.0929577364671","70.5463934841085","86.830261358838","112.337642626281","158.960819671883","410.044364010161","1581.63855431217","2036.38400853647",
