country,GDP
Turks and Caicos Islands,962525840.0
Chad,9975692095.40855
East Asia & Pacific (IDA & IBRD countries),14618128658743.0
Europe & Central Asia (IDA & IBRD countries),3898846070787.19
Togo,4765866980.38429
Thailand,455275517239.34705
Tajikistan,7157865188.25222
Turkmenistan,37926285714.2857
Latin America & the Caribbean (IDA & IBRD countries),5732278498069.47
Timor-Leste,2487269437.36822
Middle East & North Africa (IDA & IBRD countries),1422817551938.79
Tonga,430174168.740104
South Asia (IDA & IBRD),3347712176123.4
Sub-Saharan Africa (IDA & IBRD countries),1679162216563.35
Trinidad and Tobago,22250455018.8067
Tunisia,39952095560.8829
Turkey,851549231502.615
Tuvalu,40620557.13350929
Tanzania,53320625958.5628
Uganda,25995031850.1545
Ukraine,112190355158.17801
Upper middle income,22851037576513.0
Uruguay,56488991831.0239
United States,19485393853000.0
Uzbekistan,59159949231.4924
St. Vincent and the Grenadines,785222509.144563
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),3855000000.0
Vietnam,223779865815.183
Vanuatu,849708342.6984121
World,80885580989211.6
Samoa,841538412.998896
Kosovo,7227764976.792741
"Yemen, Rep.",26818703092.5852
South Africa,348871647962.32104
Zambia,25868142076.7897
Zimbabwe,22813010116.1292
